Model,Accuracy,Balanced Accuracy,Macro F1 Score,Rejected Precision,Rejected Recall,Rejected F1 Score
Logistic Regression,0.5353805073431241,0.5015545442522601,0.47190921189833435,0.21435793731041455,0.44258872651356995,0.2888283378746594
Decision Tree,0.5144637294170005,0.4890237249548928,0.4571705421636192,0.20520231213872833,0.44467640918580376,0.28081740276862227
XGBoost,0.7819314641744548,0.4984112120839985,0.4427985829959514,0.13333333333333333,0.0041753653444676405,0.008097165991902834
Random Forest,0.5789942145082332,0.41739719815981635,0.42202390145327273,0.10887772194304858,0.13569937369519833,0.120817843866171
